,episode,penalty,alpha,gamma,epsilon
57,57,13,0.7,0.6,0.2327715349010378
58,58,20,0.7,0.6,0.23055492109281947
59,59,11,0.7,0.6,0.22836036296050682
60,60,17,0.7,0.6,0.22618764104645778
61,61,4,0.7,0.6,0.22403653807667034
62,62,12,0.7,0.6,0.22190683893905494
63,63,6,0.7,0.6,0.21979833066192306
64,64,11,0.7,0.6,0.21771080239268992
65,65,9,0.7,0.6,0.21564404537678894
66,66,18,0.7,0.6,0.21359785293679628
67,67,6,0.7,0.6,0.21157202045176268
68,68,14,0.7,0.6,0.20956634533675156
69,69,11,0.7,0.6,0.20758062702257993
70,70,8,0.7,0.6,0.20561466693576164
71,71,15,0.7,0.6,0.20366826847864972
72,72,6,0.7,0.6,0.20174123700977642
73,73,7,0.7,0.6,0.19983337982438898
74,74,12,0.7,0.6,0.19794450613517897
75,75,9,0.7,0.6,0.19607442705320344
76,76,12,0.7,0.6,0.19422295556899574
77,77,10,0.7,0.6,0.19238990653386462
78,78,5,0.7,0.6,0.19057509664137895
79,79,4,0.7,0.6,0.18877834440903718
80,80,2,0.7,0.6,0.18699947016011878
81,81,9,0.7,0.6,0.18523829600571642
82,82,4,0.7,0.6,0.18349464582694705
83,83,4,0.7,0.6,0.18176834525733973
84,84,6,0.7,0.6,0.1800592216653989
85,85,2,0.7,0.6,0.1783671041373411
86,86,9,0.7,0.6,0.17669182346000342
87,87,1,0.7,0.6,0.17503321210392206
88,88,9,0.7,0.6,0.17339110420657922
89,89,5,0.7,0.6,0.17176533555581674
90,90,7,0.7,0.6,0.17015574357341476
91,91,5,0.7,0.6,0.16856216729883367
92,92,6,0.7,0.6,0.16698444737311804
93,93,8,0.7,0.6,0.16542242602296053
94,94,9,0.7,0.6,0.16387594704492445
95,95,4,0.7,0.6,0.16234485578982324
96,96,6,0.7,0.6,0.16082899914725549
97,97,5,0.7,0.6,0.15932822553029372
98,98,2,0.7,0.6,0.15784238486032556
99,99,8,0.7,0.6,0.15637132855204586
100,100,4,0.7,0.6,0.15491490949859785
101,101,5,0.7,0.6,0.15347298205686252
102,102,5,0.7,0.6,0.1520454020328941
103,103,2,0.7,0.6,0.15063202666750056
104,104,5,0.7,0.6,0.1492327146219675
105,105,2,0.7,0.6,0.14784732596392428
106,106,8,0.7,0.6,0.14647572215335058
107,107,5,0.7,0.6,0.1451177660287224
108,108,3,0.7,0.6,0.1437733217932956
109,109,3,0.7,0.6,0.14244225500152627
110,110,2,0.7,0.6,0.14112443254562598
111,111,1,0.7,0.6,0.13981972264225104
112,112,5,0.7,0.6,0.13852799481932374
113,113,3,0.7,0.6,0.1372491199029854
114,114,3,0.7,0.6,0.13598297000467863
115,115,16,0.7,0.6,0.1347294185083585
116,116,5,0.7,0.6,0.13348834005783075
117,117,5,0.7,0.6,0.1322596105442161
118,118,4,0.7,0.6,0.13104310709353917
119,119,1,0.7,0.6,0.1298387080544412
120,120,5,0.7,0.6,0.1286462929860146
121,121,5,0.7,0.6,0.12746574264575883
122,122,2,0.7,0.6,0.1262969389776561
123,123,7,0.7,0.6,0.12513976510036556
124,124,2,0.7,0.6,0.12399410529553517
125,125,3,0.7,0.6,0.12285984499622973
126,126,6,0.7,0.6,0.12173687077547414
127,127,1,0.7,0.6,0.12062507033491045
128,128,8,0.7,0.6,0.11952433249356811
129,129,3,0.7,0.6,0.11843454717674572
130,130,2,0.7,0.6,0.11735560540500341
131,131,4,0.7,0.6,0.11628739928326491
132,132,3,0.7,0.6,0.11522982199002786
133,133,5,0.7,0.6,0.11418276776668163
134,134,3,0.7,0.6,0.11314613190693135
135,135,6,0.7,0.6,0.11211981074632714
136,136,3,0.7,0.6,0.11110370165189769
137,137,2,0.7,0.6,0.11009770301188679
