,State,Action,Reward,Error,Time,Value,Alpha,Episilon,Max V,Value,Policy
49,1,0,0.0,0.016596181830705502,4.720670938491821,[0.35881528 0.79474675 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.35881528 0.79474675 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
50,2,1,1.0,0.11195317360765654,4.720781087875366,[0.35881528 0.79474675 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.35881528 0.79474675 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
51,0,0,0.0,0.035645679289576494,4.7209038734436035,[0.39446096 0.79474675 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.39446096 0.79474675 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
52,1,1,1.0,0.05602681146623986,4.721004009246826,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
53,0,1,0.0,0.024738160786344346,4.7211010456085205,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
54,0,1,0.0,0.02226434470770991,4.721282005310059,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.39446096 0.85077356 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
55,0,0,0.0,0.03712352439258043,4.721421957015991,[0.43158449 0.85077356 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.43158449 0.85077356 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
56,1,1,1.0,0.0537652475149481,4.721548080444336,[0.43158449 0.90453881 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.43158449 0.90453881 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
57,0,0,0.0,0.03825004422966772,4.721617221832275,[0.46983453 0.90453881 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.46983453 0.90453881 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
58,1,1,1.0,0.051831226744123375,4.7217020988464355,[0.46983453 0.95637004 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.46983453 0.95637004 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
59,0,0,0.0,0.03908985021367205,4.72179102897644,[0.50892438 0.95637004 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.50892438 0.95637004 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
60,1,0,0.0,0.02501234927232404,4.7218921184539795,[0.50892438 0.95637004 0.31535519 0.036      1.18804   ],0.1,,1.18804,[0.50892438 0.95637004 0.31535519 0.036      1.18804   ],[0 1 1 0 0]
61,2,1,1.0,0.11426767507818557,4.721979141235352,[0.50892438 0.95637004 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.50892438 0.95637004 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
62,0,0,0.0,0.035180865192304844,4.7220458984375,[0.54410525 0.95637004 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.54410525 0.95637004 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
63,1,1,1.0,0.05333246845624896,4.722121000289917,[0.54410525 1.00970251 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.54410525 1.00970251 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
64,0,0,0.0,0.036462700834136774,4.722188949584961,[0.58056795 1.00970251 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.58056795 1.00970251 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
65,1,1,1.0,0.05128086468569637,4.722285985946655,[0.58056795 1.06098337 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.58056795 1.06098337 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
66,0,0,0.0,0.03743170857243577,4.722429275512695,[0.61799966 1.06098337 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.61799966 1.06098337 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
67,1,1,1.0,0.04952163198864597,4.722522020339966,[0.61799966 1.110505   0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.61799966 1.110505   0.42962287 0.036      1.18804   ],[0 1 1 0 0]
68,0,1,0.0,0.040156392646070696,4.722630023956299,[0.61799966 1.110505   0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.61799966 1.110505   0.42962287 0.036      1.18804   ],[0 1 1 0 0]
69,0,0,0.0,0.03814548459417033,4.722727060317993,[0.65614514 1.110505   0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.65614514 1.110505   0.42962287 0.036      1.18804   ],[0 1 1 0 0]
70,1,1,1.0,0.04800256240325669,4.7228100299835205,[0.65614514 1.15850757 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.65614514 1.15850757 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
71,0,1,0.0,0.039573846994938953,4.7229039669036865,[0.65614514 1.15850757 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.65614514 1.15850757 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
72,0,0,0.0,0.0386511667510464,4.7229790687561035,[0.69479631 1.15850757 0.42962287 0.036      1.18804   ],0.1,,1.18804,[0.69479631 1.15850757 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
